,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
0,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
1,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
2,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
3,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
4,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
5,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
6,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
7,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
8,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
9,Despicable Me,2010,7.6,72,472599,PG,95 min,"Animation, Comedy, Family            ",76
10,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,435622,PG-13,146 min,"Adventure, Family, Mystery            ",77
11,Tangled,2010,7.7,71,374352,PG,100 min,"Animation, Adventure, Comedy            ",77
12,Alice in Wonderland,2010,6.4,53,363899,PG,108 min,"Adventure, Family, Fantasy            ",64
13,Scott Pilgrim vs. the World,2010,7.5,69,346428,PG-13,112 min,"Action, Comedy, Fantasy            ",75
14,Easy A,2010,7.1,72,336135,PG-13,92 min,"Comedy, Drama, Romance            ",71
15,127 Hours,2010,7.6,82,329130,R,94 min,"Biography, Drama            ",76
16,The Town,2010,7.5,74,327677,R,125 min,"Crime, Drama, Thriller            ",75
17,The Fighter,2010,7.8,79,320765,R,116 min,"Biography, Drama, Sport            ",78
18,The Expendables,2010,6.5,45,311744,R,103 min,"Action, Adventure, Thriller            ",65
19,Due Date,2010,6.5,51,308336,R,95 min,"Adventure, Comedy            ",65
20,TRON: Legacy,2010,6.8,49,299697,PG,125 min,"Action, Adventure, Sci-Fi            ",68
21,True Grit,2010,7.6,80,289440,PG-13,110 min,"Drama, Western            ",76
22,Salt,2010,6.4,65,280546,PG-13,100 min,"Action, Mystery, Thriller            ",64
23,The Book of Eli,2010,6.9,53,276586,R,118 min,"Action, Adventure, Drama            ",69
24,RED,2010,7,60,274914,PG-13,111 min,"Action, Comedy, Crime            ",70
25,Insidious,2010,6.8,52,259861,PG-13,103 min,"Horror, Mystery, Thriller            ",68
26,Clash of the Titans,2010,5.8,39,259828,PG-13,106 min,"Action, Adventure, Fantasy            ",58
27,Prince of Persia: The Sands of Time,2010,6.6,50,258939,PG-13,116 min,"Action, Fantasy            ",66
28,Robin Hood,2010,6.6,53,242335,PG-13,140 min,"Action, Drama, History            ",66
29,The A-Team,2010,6.7,47,237816,PG-13,117 min,"Action, Adventure, Thriller            ",67
30,The Other Guys,2010,6.6,64,225706,PG-13,107 min,"Action, Comedy, Crime            ",66
31,The Twilight Saga: Eclipse,2010,5,58,214800,PG-13,124 min,"Action, Adventure, Crime            ",50
32,Grown Ups,2010,5.9,30,214624,PG-13,102 min,Comedy            ,59
33,Megamind,2010,7.2,63,212276,PG,95 min,"Animation, Action, Comedy            ",72
34,The Tourist,2010,6,37,209929,PG-13,103 min,"Action, Adventure, Crime            ",60
35,Predators,2010,6.4,51,202609,R,107 min,"Action, Adventure, Sci-Fi            ",64
36,Machete,2010,6.6,60,184094,R,105 min,"Action, Crime, Thriller            ",66
37,Unstoppable,2010,6.7,69,175254,PG-13,98 min,"Action, Thriller            ",67
38,Blue Valentine,2010,7.4,81,172873,R,112 min,"Drama, Romance            ",74
39,Knight and Day,2010,6.3,46,171784,PG-13,109 min,"Action, Adventure, Comedy            ",63
40,Shrek Forever After,2010,6.3,58,171248,PG,93 min,"Animation, Adventure, Comedy            ",63
41,The Next Three Days,2010,7.4,52,171020,PG-13,133 min,"Action, Crime, Drama            ",74
42,Love & Other Drugs,2010,6.7,55,170285,R,112 min,"Comedy, Drama, Romance            ",67
43,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167571,PG,118 min,"Adventure, Family, Fantasy            ",59
44,Get Him to the Greek,2010,6.4,65,162993,R,109 min,"Comedy, Music            ",64
45,Tucker and Dale vs Evil,2010,7.5,65,156310,R,89 min,"Comedy, Horror            ",75
46,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
47,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
48,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
49,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
50,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
51,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
52,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
53,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
54,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
55,Despicable Me,2010,7.6,72,472599,PG,95 min,"Animation, Comedy, Family            ",76
56,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,435622,PG-13,146 min,"Adventure, Family, Mystery            ",77
57,Tangled,2010,7.7,71,374352,PG,100 min,"Animation, Adventure, Comedy            ",77
58,Alice in Wonderland,2010,6.4,53,363899,PG,108 min,"Adventure, Family, Fantasy            ",64
59,Scott Pilgrim vs. the World,2010,7.5,69,346428,PG-13,112 min,"Action, Comedy, Fantasy            ",75
60,Easy A,2010,7.1,72,336135,PG-13,92 min,"Comedy, Drama, Romance            ",71
61,127 Hours,2010,7.6,82,329130,R,94 min,"Biography, Drama            ",76
62,The Town,2010,7.5,74,327677,R,125 min,"Crime, Drama, Thriller            ",75
63,The Fighter,2010,7.8,79,320765,R,116 min,"Biography, Drama, Sport            ",78
64,The Expendables,2010,6.5,45,311744,R,103 min,"Action, Adventure, Thriller            ",65
65,Due Date,2010,6.5,51,308336,R,95 min,"Adventure, Comedy            ",65
66,TRON: Legacy,2010,6.8,49,299697,PG,125 min,"Action, Adventure, Sci-Fi            ",68
67,True Grit,2010,7.6,80,289440,PG-13,110 min,"Drama, Western            ",76
68,Salt,2010,6.4,65,280546,PG-13,100 min,"Action, Mystery, Thriller            ",64
69,The Book of Eli,2010,6.9,53,276586,R,118 min,"Action, Adventure, Drama            ",69
70,RED,2010,7,60,274914,PG-13,111 min,"Action, Comedy, Crime            ",70
71,Insidious,2010,6.8,52,259861,PG-13,103 min,"Horror, Mystery, Thriller            ",68
72,Clash of the Titans,2010,5.8,39,259828,PG-13,106 min,"Action, Adventure, Fantasy            ",58
73,Prince of Persia: The Sands of Time,2010,6.6,50,258939,PG-13,116 min,"Action, Fantasy            ",66
74,Robin Hood,2010,6.6,53,242335,PG-13,140 min,"Action, Drama, History            ",66
75,The A-Team,2010,6.7,47,237816,PG-13,117 min,"Action, Adventure, Thriller            ",67
76,The Other Guys,2010,6.6,64,225706,PG-13,107 min,"Action, Comedy, Crime            ",66
77,The Twilight Saga: Eclipse,2010,5,58,214800,PG-13,124 min,"Action, Adventure, Crime            ",50
78,Grown Ups,2010,5.9,30,214624,PG-13,102 min,Comedy            ,59
79,Megamind,2010,7.2,63,212276,PG,95 min,"Animation, Action, Comedy            ",72
80,The Tourist,2010,6,37,209929,PG-13,103 min,"Action, Adventure, Crime            ",60
81,Predators,2010,6.4,51,202609,R,107 min,"Action, Adventure, Sci-Fi            ",64
82,Machete,2010,6.6,60,184094,R,105 min,"Action, Crime, Thriller            ",66
83,Unstoppable,2010,6.7,69,175254,PG-13,98 min,"Action, Thriller            ",67
84,Blue Valentine,2010,7.4,81,172873,R,112 min,"Drama, Romance            ",74
85,Knight and Day,2010,6.3,46,171784,PG-13,109 min,"Action, Adventure, Comedy            ",63
86,Shrek Forever After,2010,6.3,58,171248,PG,93 min,"Animation, Adventure, Comedy            ",63
87,The Next Three Days,2010,7.4,52,171020,PG-13,133 min,"Action, Crime, Drama            ",74
88,Love & Other Drugs,2010,6.7,55,170285,R,112 min,"Comedy, Drama, Romance            ",67
89,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167571,PG,118 min,"Adventure, Family, Fantasy            ",59
90,Get Him to the Greek,2010,6.4,65,162993,R,109 min,"Comedy, Music            ",64
91,Tucker and Dale vs Evil,2010,7.5,65,156310,R,89 min,"Comedy, Horror            ",75
92,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
93,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
94,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
95,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
96,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
97,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
98,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
99,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
100,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
101,Despicable Me,2010,7.6,72,472599,PG,95 min,"Animation, Comedy, Family            ",76
102,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,435622,PG-13,146 min,"Adventure, Family, Mystery            ",77
103,Tangled,2010,7.7,71,374352,PG,100 min,"Animation, Adventure, Comedy            ",77
104,Alice in Wonderland,2010,6.4,53,363899,PG,108 min,"Adventure, Family, Fantasy            ",64
105,Scott Pilgrim vs. the World,2010,7.5,69,346428,PG-13,112 min,"Action, Comedy, Fantasy            ",75
106,Easy A,2010,7.1,72,336135,PG-13,92 min,"Comedy, Drama, Romance            ",71
107,127 Hours,2010,7.6,82,329130,R,94 min,"Biography, Drama            ",76
108,The Town,2010,7.5,74,327677,R,125 min,"Crime, Drama, Thriller            ",75
109,The Fighter,2010,7.8,79,320765,R,116 min,"Biography, Drama, Sport            ",78
110,The Expendables,2010,6.5,45,311744,R,103 min,"Action, Adventure, Thriller            ",65
111,Due Date,2010,6.5,51,308336,R,95 min,"Adventure, Comedy            ",65
112,TRON: Legacy,2010,6.8,49,299697,PG,125 min,"Action, Adventure, Sci-Fi            ",68
113,True Grit,2010,7.6,80,289440,PG-13,110 min,"Drama, Western            ",76
114,Salt,2010,6.4,65,280546,PG-13,100 min,"Action, Mystery, Thriller            ",64
115,The Book of Eli,2010,6.9,53,276586,R,118 min,"Action, Adventure, Drama            ",69
116,RED,2010,7,60,274914,PG-13,111 min,"Action, Comedy, Crime            ",70
117,Insidious,2010,6.8,52,259861,PG-13,103 min,"Horror, Mystery, Thriller            ",68
118,Clash of the Titans,2010,5.8,39,259828,PG-13,106 min,"Action, Adventure, Fantasy            ",58
119,Prince of Persia: The Sands of Time,2010,6.6,50,258939,PG-13,116 min,"Action, Fantasy            ",66
120,Robin Hood,2010,6.6,53,242335,PG-13,140 min,"Action, Drama, History            ",66
121,The A-Team,2010,6.7,47,237816,PG-13,117 min,"Action, Adventure, Thriller            ",67
122,The Other Guys,2010,6.6,64,225706,PG-13,107 min,"Action, Comedy, Crime            ",66
123,The Twilight Saga: Eclipse,2010,5,58,214800,PG-13,124 min,"Action, Adventure, Crime            ",50
124,Grown Ups,2010,5.9,30,214624,PG-13,102 min,Comedy            ,59
125,Megamind,2010,7.2,63,212276,PG,95 min,"Animation, Action, Comedy            ",72
126,The Tourist,2010,6,37,209929,PG-13,103 min,"Action, Adventure, Crime            ",60
127,Predators,2010,6.4,51,202609,R,107 min,"Action, Adventure, Sci-Fi            ",64
128,Machete,2010,6.6,60,184094,R,105 min,"Action, Crime, Thriller            ",66
129,Unstoppable,2010,6.7,69,175254,PG-13,98 min,"Action, Thriller            ",67
130,Blue Valentine,2010,7.4,81,172873,R,112 min,"Drama, Romance            ",74
131,Knight and Day,2010,6.3,46,171784,PG-13,109 min,"Action, Adventure, Comedy            ",63
132,Shrek Forever After,2010,6.3,58,171248,PG,93 min,"Animation, Adventure, Comedy            ",63
133,The Next Three Days,2010,7.4,52,171020,PG-13,133 min,"Action, Crime, Drama            ",74
134,Love & Other Drugs,2010,6.7,55,170285,R,112 min,"Comedy, Drama, Romance            ",67
135,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167571,PG,118 min,"Adventure, Family, Fantasy            ",59
136,Get Him to the Greek,2010,6.4,65,162993,R,109 min,"Comedy, Music            ",64
137,Tucker and Dale vs Evil,2010,7.5,65,156310,R,89 min,"Comedy, Horror            ",75
138,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
139,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
140,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
141,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
142,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
143,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
144,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
145,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
146,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
147,Despicable Me,2010,7.6,72,472599,PG,95 min,"Animation, Comedy, Family            ",76
148,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,435622,PG-13,146 min,"Adventure, Family, Mystery            ",77
149,Tangled,2010,7.7,71,374352,PG,100 min,"Animation, Adventure, Comedy            ",77
150,Alice in Wonderland,2010,6.4,53,363899,PG,108 min,"Adventure, Family, Fantasy            ",64
151,Scott Pilgrim vs. the World,2010,7.5,69,346428,PG-13,112 min,"Action, Comedy, Fantasy            ",75
152,Easy A,2010,7.1,72,336135,PG-13,92 min,"Comedy, Drama, Romance            ",71
153,127 Hours,2010,7.6,82,329130,R,94 min,"Biography, Drama            ",76
154,The Town,2010,7.5,74,327677,R,125 min,"Crime, Drama, Thriller            ",75
155,The Fighter,2010,7.8,79,320765,R,116 min,"Biography, Drama, Sport            ",78
156,The Expendables,2010,6.5,45,311744,R,103 min,"Action, Adventure, Thriller            ",65
157,Due Date,2010,6.5,51,308336,R,95 min,"Adventure, Comedy            ",65
158,TRON: Legacy,2010,6.8,49,299697,PG,125 min,"Action, Adventure, Sci-Fi            ",68
159,True Grit,2010,7.6,80,289440,PG-13,110 min,"Drama, Western            ",76
160,Salt,2010,6.4,65,280546,PG-13,100 min,"Action, Mystery, Thriller            ",64
161,The Book of Eli,2010,6.9,53,276586,R,118 min,"Action, Adventure, Drama            ",69
162,RED,2010,7,60,274914,PG-13,111 min,"Action, Comedy, Crime            ",70
163,Insidious,2010,6.8,52,259861,PG-13,103 min,"Horror, Mystery, Thriller            ",68
164,Clash of the Titans,2010,5.8,39,259828,PG-13,106 min,"Action, Adventure, Fantasy            ",58
165,Prince of Persia: The Sands of Time,2010,6.6,50,258939,PG-13,116 min,"Action, Fantasy            ",66
166,Robin Hood,2010,6.6,53,242335,PG-13,140 min,"Action, Drama, History            ",66
167,The A-Team,2010,6.7,47,237816,PG-13,117 min,"Action, Adventure, Thriller            ",67
168,The Other Guys,2010,6.6,64,225706,PG-13,107 min,"Action, Comedy, Crime            ",66
169,The Twilight Saga: Eclipse,2010,5,58,214800,PG-13,124 min,"Action, Adventure, Crime            ",50
170,Grown Ups,2010,5.9,30,214624,PG-13,102 min,Comedy            ,59
171,Megamind,2010,7.2,63,212276,PG,95 min,"Animation, Action, Comedy            ",72
172,The Tourist,2010,6,37,209929,PG-13,103 min,"Action, Adventure, Crime            ",60
173,Predators,2010,6.4,51,202609,R,107 min,"Action, Adventure, Sci-Fi            ",64
174,Machete,2010,6.6,60,184094,R,105 min,"Action, Crime, Thriller            ",66
175,Unstoppable,2010,6.7,69,175254,PG-13,98 min,"Action, Thriller            ",67
176,Blue Valentine,2010,7.4,81,172873,R,112 min,"Drama, Romance            ",74
177,Knight and Day,2010,6.3,46,171784,PG-13,109 min,"Action, Adventure, Comedy            ",63
178,Shrek Forever After,2010,6.3,58,171248,PG,93 min,"Animation, Adventure, Comedy            ",63
179,The Next Three Days,2010,7.4,52,171020,PG-13,133 min,"Action, Crime, Drama            ",74
180,Love & Other Drugs,2010,6.7,55,170285,R,112 min,"Comedy, Drama, Romance            ",67
181,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167571,PG,118 min,"Adventure, Family, Fantasy            ",59
182,Get Him to the Greek,2010,6.4,65,162993,R,109 min,"Comedy, Music            ",64
183,Tucker and Dale vs Evil,2010,7.5,65,156310,R,89 min,"Comedy, Horror            ",75
184,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
185,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
186,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
187,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
188,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
189,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
190,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
191,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
192,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
193,Despicable Me,2010,7.6,72,472599,PG,95 min,"Animation, Comedy, Family            ",76
194,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,435622,PG-13,146 min,"Adventure, Family, Mystery            ",77
195,Tangled,2010,7.7,71,374352,PG,100 min,"Animation, Adventure, Comedy            ",77
196,Alice in Wonderland,2010,6.4,53,363899,PG,108 min,"Adventure, Family, Fantasy            ",64
197,Scott Pilgrim vs. the World,2010,7.5,69,346428,PG-13,112 min,"Action, Comedy, Fantasy            ",75
198,Easy A,2010,7.1,72,336135,PG-13,92 min,"Comedy, Drama, Romance            ",71
199,127 Hours,2010,7.6,82,329130,R,94 min,"Biography, Drama            ",76
200,The Town,2010,7.5,74,327677,R,125 min,"Crime, Drama, Thriller            ",75
201,The Fighter,2010,7.8,79,320765,R,116 min,"Biography, Drama, Sport            ",78
202,The Expendables,2010,6.5,45,311744,R,103 min,"Action, Adventure, Thriller            ",65
203,Due Date,2010,6.5,51,308336,R,95 min,"Adventure, Comedy            ",65
204,TRON: Legacy,2010,6.8,49,299697,PG,125 min,"Action, Adventure, Sci-Fi            ",68
205,True Grit,2010,7.6,80,289440,PG-13,110 min,"Drama, Western            ",76
206,Salt,2010,6.4,65,280546,PG-13,100 min,"Action, Mystery, Thriller            ",64
207,The Book of Eli,2010,6.9,53,276586,R,118 min,"Action, Adventure, Drama            ",69
208,RED,2010,7,60,274914,PG-13,111 min,"Action, Comedy, Crime            ",70
209,Insidious,2010,6.8,52,259861,PG-13,103 min,"Horror, Mystery, Thriller            ",68
210,Clash of the Titans,2010,5.8,39,259828,PG-13,106 min,"Action, Adventure, Fantasy            ",58
211,Prince of Persia: The Sands of Time,2010,6.6,50,258939,PG-13,116 min,"Action, Fantasy            ",66
212,Robin Hood,2010,6.6,53,242335,PG-13,140 min,"Action, Drama, History            ",66
213,The A-Team,2010,6.7,47,237816,PG-13,117 min,"Action, Adventure, Thriller            ",67
214,The Other Guys,2010,6.6,64,225706,PG-13,107 min,"Action, Comedy, Crime            ",66
215,The Twilight Saga: Eclipse,2010,5,58,214800,PG-13,124 min,"Action, Adventure, Crime            ",50
216,Grown Ups,2010,5.9,30,214624,PG-13,102 min,Comedy            ,59
217,Megamind,2010,7.2,63,212276,PG,95 min,"Animation, Action, Comedy            ",72
218,The Tourist,2010,6,37,209929,PG-13,103 min,"Action, Adventure, Crime            ",60
219,Predators,2010,6.4,51,202609,R,107 min,"Action, Adventure, Sci-Fi            ",64
220,Machete,2010,6.6,60,184094,R,105 min,"Action, Crime, Thriller            ",66
221,Unstoppable,2010,6.7,69,175254,PG-13,98 min,"Action, Thriller            ",67
222,Blue Valentine,2010,7.4,81,172873,R,112 min,"Drama, Romance            ",74
223,Knight and Day,2010,6.3,46,171784,PG-13,109 min,"Action, Adventure, Comedy            ",63
224,Shrek Forever After,2010,6.3,58,171248,PG,93 min,"Animation, Adventure, Comedy            ",63
225,The Next Three Days,2010,7.4,52,171020,PG-13,133 min,"Action, Crime, Drama            ",74
226,Love & Other Drugs,2010,6.7,55,170285,R,112 min,"Comedy, Drama, Romance            ",67
227,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167571,PG,118 min,"Adventure, Family, Fantasy            ",59
228,Get Him to the Greek,2010,6.4,65,162993,R,109 min,"Comedy, Music            ",64
229,Tucker and Dale vs Evil,2010,7.5,65,156310,R,89 min,"Comedy, Horror            ",75
230,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
231,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
232,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
233,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
234,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
235,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
236,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
237,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
238,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
239,Despicable Me,2010,7.6,72,472599,PG,95 min,"Animation, Comedy, Family            ",76
240,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,435622,PG-13,146 min,"Adventure, Family, Mystery            ",77
241,Tangled,2010,7.7,71,374352,PG,100 min,"Animation, Adventure, Comedy            ",77
242,Alice in Wonderland,2010,6.4,53,363899,PG,108 min,"Adventure, Family, Fantasy            ",64
243,Scott Pilgrim vs. the World,2010,7.5,69,346428,PG-13,112 min,"Action, Comedy, Fantasy            ",75
244,Easy A,2010,7.1,72,336135,PG-13,92 min,"Comedy, Drama, Romance            ",71
245,127 Hours,2010,7.6,82,329130,R,94 min,"Biography, Drama            ",76
246,The Town,2010,7.5,74,327677,R,125 min,"Crime, Drama, Thriller            ",75
247,The Fighter,2010,7.8,79,320765,R,116 min,"Biography, Drama, Sport            ",78
248,The Expendables,2010,6.5,45,311744,R,103 min,"Action, Adventure, Thriller            ",65
249,Due Date,2010,6.5,51,308336,R,95 min,"Adventure, Comedy            ",65
250,TRON: Legacy,2010,6.8,49,299697,PG,125 min,"Action, Adventure, Sci-Fi            ",68
251,True Grit,2010,7.6,80,289440,PG-13,110 min,"Drama, Western            ",76
252,Salt,2010,6.4,65,280546,PG-13,100 min,"Action, Mystery, Thriller            ",64
253,The Book of Eli,2010,6.9,53,276586,R,118 min,"Action, Adventure, Drama            ",69
254,RED,2010,7,60,274914,PG-13,111 min,"Action, Comedy, Crime            ",70
255,Insidious,2010,6.8,52,259861,PG-13,103 min,"Horror, Mystery, Thriller            ",68
256,Clash of the Titans,2010,5.8,39,259828,PG-13,106 min,"Action, Adventure, Fantasy            ",58
257,Prince of Persia: The Sands of Time,2010,6.6,50,258939,PG-13,116 min,"Action, Fantasy            ",66
258,Robin Hood,2010,6.6,53,242335,PG-13,140 min,"Action, Drama, History            ",66
259,The A-Team,2010,6.7,47,237816,PG-13,117 min,"Action, Adventure, Thriller            ",67
260,The Other Guys,2010,6.6,64,225706,PG-13,107 min,"Action, Comedy, Crime            ",66
261,The Twilight Saga: Eclipse,2010,5,58,214800,PG-13,124 min,"Action, Adventure, Crime            ",50
262,Grown Ups,2010,5.9,30,214624,PG-13,102 min,Comedy            ,59
263,Megamind,2010,7.2,63,212276,PG,95 min,"Animation, Action, Comedy            ",72
264,The Tourist,2010,6,37,209929,PG-13,103 min,"Action, Adventure, Crime            ",60
265,Predators,2010,6.4,51,202609,R,107 min,"Action, Adventure, Sci-Fi            ",64
266,Machete,2010,6.6,60,184094,R,105 min,"Action, Crime, Thriller            ",66
267,Unstoppable,2010,6.7,69,175254,PG-13,98 min,"Action, Thriller            ",67
268,Blue Valentine,2010,7.4,81,172873,R,112 min,"Drama, Romance            ",74
269,Knight and Day,2010,6.3,46,171784,PG-13,109 min,"Action, Adventure, Comedy            ",63
270,Shrek Forever After,2010,6.3,58,171248,PG,93 min,"Animation, Adventure, Comedy            ",63
271,The Next Three Days,2010,7.4,52,171020,PG-13,133 min,"Action, Crime, Drama            ",74
272,Love & Other Drugs,2010,6.7,55,170285,R,112 min,"Comedy, Drama, Romance            ",67
273,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167571,PG,118 min,"Adventure, Family, Fantasy            ",59
274,Get Him to the Greek,2010,6.4,65,162993,R,109 min,"Comedy, Music            ",64
275,Tucker and Dale vs Evil,2010,7.5,65,156310,R,89 min,"Comedy, Horror            ",75
276,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
277,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
278,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
279,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
280,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
281,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
282,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
283,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
284,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
285,Despicable Me,2010,7.6,72,472599,PG,95 min,"Animation, Comedy, Family            ",76
286,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,435622,PG-13,146 min,"Adventure, Family, Mystery            ",77
287,Tangled,2010,7.7,71,374352,PG,100 min,"Animation, Adventure, Comedy            ",77
288,Alice in Wonderland,2010,6.4,53,363899,PG,108 min,"Adventure, Family, Fantasy            ",64
289,Scott Pilgrim vs. the World,2010,7.5,69,346428,PG-13,112 min,"Action, Comedy, Fantasy            ",75
290,Easy A,2010,7.1,72,336135,PG-13,92 min,"Comedy, Drama, Romance            ",71
291,127 Hours,2010,7.6,82,329130,R,94 min,"Biography, Drama            ",76
292,The Town,2010,7.5,74,327677,R,125 min,"Crime, Drama, Thriller            ",75
293,The Fighter,2010,7.8,79,320765,R,116 min,"Biography, Drama, Sport            ",78
294,The Expendables,2010,6.5,45,311744,R,103 min,"Action, Adventure, Thriller            ",65
295,Due Date,2010,6.5,51,308336,R,95 min,"Adventure, Comedy            ",65
296,TRON: Legacy,2010,6.8,49,299697,PG,125 min,"Action, Adventure, Sci-Fi            ",68
297,True Grit,2010,7.6,80,289440,PG-13,110 min,"Drama, Western            ",76
298,Salt,2010,6.4,65,280546,PG-13,100 min,"Action, Mystery, Thriller            ",64
299,The Book of Eli,2010,6.9,53,276586,R,118 min,"Action, Adventure, Drama            ",69
300,RED,2010,7,60,274914,PG-13,111 min,"Action, Comedy, Crime            ",70
301,Insidious,2010,6.8,52,259861,PG-13,103 min,"Horror, Mystery, Thriller            ",68
