,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
2120,Mission: Impossible - Rogue Nation,2015,7.4,75,318712,PG-13,131 min,"Action, Adventure, Thriller            ",74
2121,Fifty Shades of Grey,2015,4.1,46,283364,R,125 min,"Drama, Romance, Thriller            ",41
2122,Bridge of Spies,2015,7.6,81,267856,PG-13,142 min,"Drama, History, Thriller            ",76
2123,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,259566,PG-13,137 min,"Action, Adventure, Sci-Fi            ",65
2124,The Man from U.N.C.L.E.,2015,7.3,56,245923,PG-13,116 min,"Action, Adventure, Comedy            ",73
2125,Terminator Genisys,2015,6.4,38,239564,PG-13,126 min,"Action, Adventure, Sci-Fi            ",64
2126,Creed,2015,7.6,82,230334,PG-13,133 min,"Drama, Sport            ",76
2127,Spy,2015,7,75,217224,R,119 min,"Action, Comedy, Crime            ",70
2128,Chappie,2015,6.8,41,217069,R,120 min,"Action, Crime, Drama            ",68
2129,Maze Runner: The Scorch Trials,2015,6.3,43,205540,PG-13,131 min,"Action, Sci-Fi, Thriller            ",63
2130,Southpaw,2015,7.4,57,203789,R,124 min,"Drama, Sport            ",74
2131,Insurgent,2015,6.2,42,203383,PG-13,119 min,"Action, Adventure, Sci-Fi            ",62
2132,Minions,2015,6.4,56,198299,PG,91 min,"Animation, Adventure, Comedy            ",64
2133,San Andreas,2015,6,43,197034,PG-13,114 min,"Action, Adventure, Drama            ",60
2134,Focus,2015,6.6,56,196565,R,105 min,"Comedy, Crime, Drama            ",66
2135,The Intern,2015,7.1,51,196089,PG-13,121 min,"Comedy, Drama            ",71
2136,The Lobster,2015,7.1,82,189975,R,119 min,"Comedy, Drama, Romance            ",71
2137,Everest,2015,7.1,64,184152,PG-13,121 min,"Action, Adventure, Biography            ",71
2138,Ted 2,2015,6.3,48,170180,R,115 min,Comedy            ,63
2139,Jupiter Ascending,2015,5.3,40,169565,PG-13,127 min,"Action, Adventure, Sci-Fi            ",53
2140,Straight Outta Compton,2015,7.9,72,168041,R,147 min,"Biography, Drama, History            ",79
2141,The Witch,2015,6.8,83,163695,R,92 min,"Horror, Mystery            ",68
2142,Tomorrowland,2015,6.4,60,163654,PG,130 min,"Action, Adventure, Family            ",64
2143,Black Mass,2015,6.9,68,158265,R,123 min,"Biography, Crime, Drama            ",69
2144,The Danish Girl,2015,7.1,66,150177,R,119 min,"Biography, Drama, Romance            ",71
2145,Cinderella,2015,6.9,67,147149,PG,105 min,"Drama, Family, Fantasy            ",69
2146,Legend,2015,6.9,55,142869,R,132 min,"Biography, Crime, Drama            ",69
2147,Fantastic Four,2015,4.3,27,142449,PG-13,100 min,"Action, Adventure, Drama            ",43
2148,The Age of Adaline,2015,7.2,51,142437,PG-13,112 min,"Drama, Fantasy, Romance            ",72
2149,Mad Max: Fury Road,2015,8.1,90,800802,R,120 min,"Action, Adventure, Sci-Fi            ",81
2150,Star Wars: Episode VII - The Force Awakens,2015,8,81,797265,PG-13,138 min,"Action, Adventure, Sci-Fi            ",80
2151,The Martian,2015,8,80,698148,PG-13,144 min,"Adventure, Drama, Sci-Fi            ",80
2152,Avengers: Age of Ultron,2015,7.3,66,685873,PG-13,141 min,"Action, Adventure, Sci-Fi            ",73
2153,The Revenant,2015,8,76,639427,R,156 min,"Action, Adventure, Biography            ",80
2154,Inside Out,2015,8.2,94,553016,PG,95 min,"Animation, Adventure, Comedy            ",82
2155,Jurassic World,2015,7,59,548572,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
2156,Ant-Man,2015,7.3,64,520340,PG-13,117 min,"Action, Adventure, Comedy            ",73
2157,The Hateful Eight,2015,7.8,68,460579,R,168 min,"Crime, Drama, Mystery            ",78
